country,given,received
Australia,2446616312,2572618261
Austria,784068952,770267419
Belgium,2144445270,184346233
Brazil,1134440,36607258078
Canada,7466338200,4068652966
Chile,564349,7334129130
Colombia,190795,25530536307
Cyprus,5599,968154947
Czech Republic,8930435,2141913341
Denmark,2952416405,166310586
Estonia,278942,251349503
Finland,665953415,180695493
France,15456459635,237540854
Germany,47218438821,60164
Greece,32667185,519377906
Hungary,324552,2925327491
Iceland,172501,18060045
Ireland,295144458,934638729
Italy,3835655974,2400826417
Japan,114182254172,2081102258
Korea,1299047720,25294323453
Kuwait,1369078319,7771540076
Liechtenstein,4370700,18393083
Luxembourg,111554022,555039832
New Zealand,56749885,225588310
Norway,4416814418,368001981
Poland,403184,24517225188
Portugal,68900866,175242606
Qatar,104519053,733783749
Saudi Arabia,1698410689,4877749103
Slovak Republic,395574,821195623
Slovenia,150028,225435200
Spain,2014695904,561711808
Sweden,6364045876,59757155
Switzerland,2844087953,326783
Taiwan,83737498,3399554410
Thailand,25461,49041317440
United Arab Emirates,67636986,300206472
United Kingdom,23690539376,957343964
United States,116176338066,104524992
